w1_num,w1_cpu,w1_mem,w2_num,w2_cpu,w2_mem,w3_num,w3_cpu,w3_mem,w4_num,w4_cpu,w4_mem,time,nr_query_cols,nr_query_conds,nr_data_cols,nr_data_rows,nr_users
0,6,4,3,3,3,3,1,2,0,1,2,37.262784576,2,1,2500,1000002,1
1,6,4,3,3,3,3,1,2,0,1,2,39.189432466,2,1,2500,1000002,1
2,6,4,3,3,3,3,1,2,0,1,2,52.28084053,2,1,2500,1000002,1
3,6,4,3,3,3,3,1,2,0,1,2,44.83414482,2,1,2500,1000002,1
0,5,4,0,4,3,3,1,2,0,1,2,83.194861424,2,1,2500,1000002,1
1,5,4,0,4,3,3,1,2,0,1,2,50.345387333,2,1,2500,1000002,1
2,5,4,0,4,3,3,1,2,0,1,2,77.967237411,2,1,2500,1000002,1
3,5,4,0,4,3,3,1,2,0,1,2,45.821859669,2,1,2500,1000002,1
0,6,4,0,4,3,3,1,2,0,1,2,89.435159918,2,1,2500,1000002,1
1,6,4,0,4,3,3,1,2,0,1,2,52.794278103,2,1,2500,1000002,1
2,6,4,0,4,3,3,1,2,0,1,2,36.534277459,2,1,2500,1000002,1
3,6,4,0,4,3,3,1,2,0,1,2,48.529414639,2,1,2500,1000002,1
0,5,4,1,4,3,3,1,2,0,1,2,60.170771921,2,1,2500,1000002,1
1,5,4,1,4,3,3,1,2,0,1,2,60.96871046,2,1,2500,1000002,1
2,5,4,1,4,3,3,1,2,0,1,2,40.959775905,2,1,2500,1000002,1
3,5,4,1,4,3,3,1,2,0,1,2,49.509873949,2,1,2500,1000002,1
0,6,4,1,4,3,3,1,2,0,1,2,49.821915652,2,1,2500,1000002,1
1,6,4,1,4,3,3,1,2,0,1,2,40.167795347,2,1,2500,1000002,1
2,6,4,1,4,3,3,1,2,0,1,2,48.871429176,2,1,2500,1000002,1
3,6,4,1,4,3,3,1,2,0,1,2,42.181843375,2,1,2500,1000002,1
0,5,4,2,4,3,3,1,2,0,1,2,40.020134777,2,1,2500,1000002,1
1,5,4,2,4,3,3,1,2,0,1,2,34.321796774,2,1,2500,1000002,1
2,5,4,2,4,3,3,1,2,0,1,2,38.274556196,2,1,2500,1000002,1
3,5,4,2,4,3,3,1,2,0,1,2,65.264077769,2,1,2500,1000002,1
0,6,4,2,4,3,3,1,2,0,1,2,46.785708819,2,1,2500,1000002,1
1,6,4,2,4,3,3,1,2,0,1,2,37.046118838,2,1,2500,1000002,1
2,6,4,2,4,3,3,1,2,0,1,2,36.789859322,2,1,2500,1000002,1
3,6,4,2,4,3,3,1,2,0,1,2,39.474026816,2,1,2500,1000002,1
0,5,4,3,4,3,3,1,2,0,1,2,30.353531297,2,1,2500,1000002,1
1,5,4,3,4,3,3,1,2,0,1,2,55.01499543,2,1,2500,1000002,1
2,5,4,3,4,3,3,1,2,0,1,2,33.253362907,2,1,2500,1000002,1
3,5,4,3,4,3,3,1,2,0,1,2,44.937249433,2,1,2500,1000002,1
0,6,4,3,4,3,3,1,2,0,1,2,73.692343433,2,1,2500,1000002,1
1,6,4,3,4,3,3,1,2,0,1,2,44.952947957,2,1,2500,1000002,1
2,6,4,3,4,3,3,1,2,0,1,2,61.276795187,2,1,2500,1000002,1
3,6,4,3,4,3,3,1,2,0,1,2,36.531259306,2,1,2500,1000002,1
1,5,4,0,3,3,0,2,2,0,1,2,19.428368463,2,1,2500,1000002,1
2,5,4,0,3,3,0,2,2,0,1,2,22.290654679,2,1,2500,1000002,1
3,5,4,0,3,3,0,2,2,0,1,2,22.421628671,2,1,2500,1000002,1
1,6,4,0,3,3,0,2,2,0,1,2,20.264865973,2,1,2500,1000002,1
2,6,4,0,3,3,0,2,2,0,1,2,23.081226577,2,1,2500,1000002,1
3,6,4,0,3,3,0,2,2,0,1,2,21.626035119,2,1,2500,1000002,1
0,5,4,1,3,3,0,2,2,0,1,2,19.373458992,2,1,2500,1000002,1
1,5,4,1,3,3,0,2,2,0,1,2,21.932316704,2,1,2500,1000002,1
2,5,4,1,3,3,0,2,2,0,1,2,22.14274251,2,1,2500,1000002,1
3,5,4,1,3,3,0,2,2,0,1,2,24.278365646,2,1,2500,1000002,1
0,6,4,1,3,3,0,2,2,0,1,2,19.845361629,2,1,2500,1000002,1
1,6,4,1,3,3,0,2,2,0,1,2,21.50422516,2,1,2500,1000002,1
2,6,4,1,3,3,0,2,2,0,1,2,24.286439367,2,1,2500,1000002,1
3,6,4,1,3,3,0,2,2,0,1,2,24.374845669,2,1,2500,1000002,1
0,5,4,2,3,3,0,2,2,0,1,2,22.224105457,2,1,2500,1000002,1
1,5,4,2,3,3,0,2,2,0,1,2,19.851195016,2,1,2500,1000002,1
2,5,4,2,3,3,0,2,2,0,1,2,23.289908121,2,1,2500,1000002,1
3,5,4,2,3,3,0,2,2,0,1,2,22.929609106,2,1,2500,1000002,1
0,6,4,2,3,3,0,2,2,0,1,2,19.24410562,2,1,2500,1000002,1
1,6,4,2,3,3,0,2,2,0,1,2,22.186925283,2,1,2500,1000002,1
2,6,4,2,3,3,0,2,2,0,1,2,25.507355916,2,1,2500,1000002,1
3,6,4,2,3,3,0,2,2,0,1,2,22.762888116,2,1,2500,1000002,1
0,5,4,3,3,3,0,2,2,0,1,2,23.839645726,2,1,2500,1000002,1
1,5,4,3,3,3,0,2,2,0,1,2,24.570094108,2,1,2500,1000002,1
2,5,4,3,3,3,0,2,2,0,1,2,21.151532518,2,1,2500,1000002,1
3,5,4,3,3,3,0,2,2,0,1,2,26.263420663,2,1,2500,1000002,1
0,6,4,3,3,3,0,2,2,0,1,2,21.939593103,2,1,2500,1000002,1
1,6,4,3,3,3,0,2,2,0,1,2,23.930549144,2,1,2500,1000002,1
2,6,4,3,3,3,0,2,2,0,1,2,23.949868765,2,1,2500,1000002,1
3,6,4,3,3,3,0,2,2,0,1,2,21.813903642,2,1,2500,1000002,1
1,5,4,0,4,3,0,2,2,0,1,2,18.635779852,2,1,2500,1000002,1
2,5,4,0,4,3,0,2,2,0,1,2,21.620404138,2,1,2500,1000002,1
3,5,4,0,4,3,0,2,2,0,1,2,21.567662663,2,1,2500,1000002,1
1,6,4,0,4,3,0,2,2,0,1,2,21.010895587,2,1,2500,1000002,1
2,6,4,0,4,3,0,2,2,0,1,2,20.245316354,2,1,2500,1000002,1
3,6,4,0,4,3,0,2,2,0,1,2,23.360943154,2,1,2500,1000002,1
0,5,4,1,4,3,0,2,2,0,1,2,18.718980522,2,1,2500,1000002,1
1,5,4,1,4,3,0,2,2,0,1,2,22.32891143,2,1,2500,1000002,1
2,5,4,1,4,3,0,2,2,0,1,2,22.764714765,2,1,2500,1000002,1
3,5,4,1,4,3,0,2,2,0,1,2,24.037609155,2,1,2500,1000002,1
0,6,4,1,4,3,0,2,2,0,1,2,19.203469642,2,1,2500,1000002,1
1,6,4,1,4,3,0,2,2,0,1,2,21.020290384,2,1,2500,1000002,1
2,6,4,1,4,3,0,2,2,0,1,2,21.471399062,2,1,2500,1000002,1
3,6,4,1,4,3,0,2,2,0,1,2,21.299192676,2,1,2500,1000002,1
0,5,4,2,4,3,0,2,2,0,1,2,20.305654964,2,1,2500,1000002,1
1,5,4,2,4,3,0,2,2,0,1,2,25.518273528,2,1,2500,1000002,1
2,5,4,2,4,3,0,2,2,0,1,2,23.791845619,2,1,2500,1000002,1
3,5,4,2,4,3,0,2,2,0,1,2,22.334141853,2,1,2500,1000002,1
0,6,4,2,4,3,0,2,2,0,1,2,21.878464942,2,1,2500,1000002,1
1,6,4,2,4,3,0,2,2,0,1,2,20.936884408,2,1,2500,1000002,1
2,6,4,2,4,3,0,2,2,0,1,2,22.836446283,2,1,2500,1000002,1
3,6,4,2,4,3,0,2,2,0,1,2,22.78508338,2,1,2500,1000002,1
0,5,4,3,4,3,0,2,2,0,1,2,21.18355238,2,1,2500,1000002,1
1,5,4,3,4,3,0,2,2,0,1,2,23.169395395,2,1,2500,1000002,1
2,5,4,3,4,3,0,2,2,0,1,2,23.855894783,2,1,2500,1000002,1
3,5,4,3,4,3,0,2,2,0,1,2,22.698174208,2,1,2500,1000002,1
0,6,4,3,4,3,0,2,2,0,1,2,21.832714402,2,1,2500,1000002,1
1,6,4,3,4,3,0,2,2,0,1,2,24.196581125,2,1,2500,1000002,1
2,6,4,3,4,3,0,2,2,0,1,2,22.283277778,2,1,2500,1000002,1
3,6,4,3,4,3,0,2,2,0,1,2,21.929925504,2,1,2500,1000002,1
0,5,4,0,3,3,1,2,2,0,1,2,74.742257418,2,1,2500,1000002,1
1,5,4,0,3,3,1,2,2,0,1,2,35.423560475,2,1,2500,1000002,1
2,5,4,0,3,3,1,2,2,0,1,2,52.366156703,2,1,2500,1000002,1
3,5,4,0,3,3,1,2,2,0,1,2,38.502302137,2,1,2500,1000002,1
0,6,4,0,3,3,1,2,2,0,1,2,94.434630434,2,1,2500,1000002,1
1,6,4,0,3,3,1,2,2,0,1,2,39.610001251,2,1,2500,1000002,1
2,6,4,0,3,3,1,2,2,0,1,2,49.581878325,2,1,2500,1000002,1
3,6,4,0,3,3,1,2,2,0,1,2,46.453480734,2,1,2500,1000002,1
0,5,4,1,3,3,1,2,2,0,1,2,40.708331589,2,1,2500,1000002,1
1,5,4,1,3,3,1,2,2,0,1,2,31.454575297,2,1,2500,1000002,1
2,5,4,1,3,3,1,2,2,0,1,2,43.988405177,2,1,2500,1000002,1
3,5,4,1,3,3,1,2,2,0,1,2,39.252378314,2,1,2500,1000002,1
0,6,4,1,3,3,1,2,2,0,1,2,53.106640449,2,1,2500,1000002,1
1,6,4,1,3,3,1,2,2,0,1,2,54.976700265,2,1,2500,1000002,1
