config #	worker1.replicaCount	worker1.resources.requests.cpu	worker1.resources.requests.memory	worker2.replicaCount	worker2.resources.requests.cpu	worker2.resources.requests.memory	worker3.replicaCount	worker3.resources.requests.cpu	worker3.resources.requests.memory	worker4.replicaCount	worker4.resources.requests.cpu	worker4.resources.requests.memory	SLAName	CompletionTime	Successfull	
212	0	6	4	2	3	3	3	1	2	0	1	2	silver	60.193672043	true	
213	1	6	4	2	3	3	3	1	2	0	1	2	silver	49.997107819	true	
214	2	6	4	2	3	3	3	1	2	0	1	2	silver	60.895776134	true	
215	3	6	4	2	3	3	3	1	2	0	1	2	silver	61.531008209	true	
216	0	5	4	3	3	3	3	1	2	0	1	2	silver	62.652573048	true	
217	1	5	4	3	3	3	3	1	2	0	1	2	silver	64.073305232	true	
218	2	5	4	3	3	3	3	1	2	0	1	2	silver	66.874113034	true	
219	3	5	4	3	3	3	3	1	2	0	1	2	silver	55.153744124	true	
220	0	6	4	3	3	3	3	1	2	0	1	2	silver	55.260092333	true	
221	1	6	4	3	3	3	3	1	2	0	1	2	silver	60.597157305	true	
222	2	6	4	3	3	3	3	1	2	0	1	2	silver	67.005191779	true	
223	3	6	4	3	3	3	3	1	2	0	1	2	silver	49.277461753	true	
224	0	5	4	0	4	3	3	1	2	0	1	2	silver	84.735672042	true	
225	1	5	4	0	4	3	3	1	2	0	1	2	silver	65.391754015	true	
226	2	5	4	0	4	3	3	1	2	0	1	2	silver	59.047133434	true	
227	3	5	4	0	4	3	3	1	2	0	1	2	silver	59.59628334	true	
228	0	6	4	0	4	3	3	1	2	0	1	2	silver	66.541145299	true	
229	1	6	4	0	4	3	3	1	2	0	1	2	silver	57.81035074	true	
230	2	6	4	0	4	3	3	1	2	0	1	2	silver	59.549706188	true	
231	3	6	4	0	4	3	3	1	2	0	1	2	silver	48.935668721	true	
232	0	5	4	1	4	3	3	1	2	0	1	2	silver	76.003891467	true	
233	1	5	4	1	4	3	3	1	2	0	1	2	silver	69.975636573	true	
234	2	5	4	1	4	3	3	1	2	0	1	2	silver	74.961090326	true	
235	3	5	4	1	4	3	3	1	2	0	1	2	silver	53.435355309	true	
236	0	6	4	1	4	3	3	1	2	0	1	2	silver	79.147774851	true	
237	1	6	4	1	4	3	3	1	2	0	1	2	silver	73.604990987	true	
238	2	6	4	1	4	3	3	1	2	0	1	2	silver	55.038629581	true	
239	3	6	4	1	4	3	3	1	2	0	1	2	silver	57.984557371	true	
240	0	5	4	2	4	3	3	1	2	0	1	2	silver	74.9154953	true	
241	1	5	4	2	4	3	3	1	2	0	1	2	silver	73.009510328	true	
242	2	5	4	2	4	3	3	1	2	0	1	2	silver	69.757030435	true	
243	3	5	4	2	4	3	3	1	2	0	1	2	silver	66.815188144	true	
244	0	6	4	2	4	3	3	1	2	0	1	2	silver	70.089641436	true	
245	1	6	4	2	4	3	3	1	2	0	1	2	silver	68.720172094	true	
246	2	6	4	2	4	3	3	1	2	0	1	2	silver	52.134105648	true	
247	3	6	4	2	4	3	3	1	2	0	1	2	silver	53.8141144	true	
248	0	5	4	3	4	3	3	1	2	0	1	2	silver	57.00504501	true	
249	1	5	4	3	4	3	3	1	2	0	1	2	silver	62.774220184	true	
250	2	5	4	3	4	3	3	1	2	0	1	2	silver	65.577675917	true	
251	3	5	4	3	4	3	3	1	2	0	1	2	silver	64.436352615	true	
252	0	6	4	3	4	3	3	1	2	0	1	2	silver	65.266677084	true	
253	1	6	4	3	4	3	3	1	2	0	1	2	silver	62.233042742	true	
254	2	6	4	3	4	3	3	1	2	0	1	2	silver	67.572626732	true	
255	3	6	4	3	4	3	3	1	2	0	1	2	silver	63.319164689	true	
256	0	5	4	0	3	3	0	2	2	0	1	2	silver	2.044287193	false	
257	1	5	4	0	3	3	0	2	2	0	1	2	silver	37.737770033	true	
258	2	5	4	0	3	3	0	2	2	0	1	2	silver	40.747735271	true	
259	3	5	4	0	3	3	0	2	2	0	1	2	silver	38.915918316	true	
260	0	6	4	0	3	3	0	2	2	0	1	2	silver	2.232053892	false	
261	1	6	4	0	3	3	0	2	2	0	1	2	silver	41.299137855	true	
262	2	6	4	0	3	3	0	2	2	0	1	2	silver	37.521853807	true	
263	3	6	4	0	3	3	0	2	2	0	1	2	silver	37.958993929	true	
264	0	5	4	1	3	3	0	2	2	0	1	2	silver	37.600006662	true	
265	1	5	4	1	3	3	0	2	2	0	1	2	silver	41.041297891	true	
266	2	5	4	1	3	3	0	2	2	0	1	2	silver	40.349751239	true	
267	3	5	4	1	3	3	0	2	2	0	1	2	silver	38.247664655	true	
268	0	6	4	1	3	3	0	2	2	0	1	2	silver	38.16148869	true	
269	1	6	4	1	3	3	0	2	2	0	1	2	silver	38.140274682	true	
270	2	6	4	1	3	3	0	2	2	0	1	2	silver	39.992087259	true	
271	3	6	4	1	3	3	0	2	2	0	1	2	silver	38.904524168	true	
272	0	5	4	2	3	3	0	2	2	0	1	2	silver	39.116602001	true	
273	1	5	4	2	3	3	0	2	2	0	1	2	silver	39.282110716	true	
274	2	5	4	2	3	3	0	2	2	0	1	2	silver	40.221640169	true	
275	3	5	4	2	3	3	0	2	2	0	1	2	silver	37.817116125	true	
276	0	6	4	2	3	3	0	2	2	0	1	2	silver	38.830349744	true	
277	1	6	4	2	3	3	0	2	2	0	1	2	silver	37.630460525	true	
278	2	6	4	2	3	3	0	2	2	0	1	2	silver	39.086166708	true	
279	3	6	4	2	3	3	0	2	2	0	1	2	silver	38.526766333	true	
280	0	5	4	3	3	3	0	2	2	0	1	2	silver	38.795897244	true	
281	1	5	4	3	3	3	0	2	2	0	1	2	silver	38.980386637	true	
282	2	5	4	3	3	3	0	2	2	0	1	2	silver	42.029197432	true	
283	3	5	4	3	3	3	0	2	2	0	1	2	silver	39.741921608	true	
284	0	6	4	3	3	3	0	2	2	0	1	2	silver	40.668585758	true	
285	1	6	4	3	3	3	0	2	2	0	1	2	silver	38.086205263	true	
286	2	6	4	3	3	3	0	2	2	0	1	2	silver	36.144243238	true	
287	3	6	4	3	3	3	0	2	2	0	1	2	silver	38.659742389	true	
288	0	5	4	0	4	3	0	2	2	0	1	2	silver	2.41610433	false	
289	1	5	4	0	4	3	0	2	2	0	1	2	silver	38.646783305	true	
290	2	5	4	0	4	3	0	2	2	0	1	2	silver	39.324331296	true	
291	3	5	4	0	4	3	0	2	2	0	1	2	silver	40.008401367	true	
292	0	6	4	0	4	3	0	2	2	0	1	2	silver	2.314936778	false	
293	1	6	4	0	4	3	0	2	2	0	1	2	silver	39.05610722	true	
294	2	6	4	0	4	3	0	2	2	0	1	2	silver	41.341426329	true	
295	3	6	4	0	4	3	0	2	2	0	1	2	silver	44.12489107	true	
296	0	5	4	1	4	3	0	2	2	0	1	2	silver	39.113644401	true	
297	1	5	4	1	4	3	0	2	2	0	1	2	silver	38.453930233	true	
298	2	5	4	1	4	3	0	2	2	0	1	2	silver	37.433598123	true	
299	3	5	4	1	4	3	0	2	2	0	1	2	silver	37.970017817	true	
300	0	6	4	1	4	3	0	2	2	0	1	2	silver	38.607169132	true	
301	1	6	4	1	4	3	0	2	2	0	1	2	silver	41.070788701	true	
302	2	6	4	1	4	3	0	2	2	0	1	2	silver	40.001410144	true	
303	3	6	4	1	4	3	0	2	2	0	1	2	silver	38.219498508	true	
304	0	5	4	2	4	3	0	2	2	0	1	2	silver	37.816992542	true	
305	1	5	4	2	4	3	0	2	2	0	1	2	silver	40.39883661	true	
306	2	5	4	2	4	3	0	2	2	0	1	2	silver	42.013870504	true	
307	3	5	4	2	4	3	0	2	2	0	1	2	silver	41.116241517	true	
308	0	6	4	2	4	3	0	2	2	0	1	2	silver	39.90566618	true	
309	1	6	4	2	4	3	0	2	2	0	1	2	silver	40.027324879	true	
310	2	6	4	2	4	3	0	2	2	0	1	2	silver	39.512655189	true	
311	3	6	4	2	4	3	0	2	2	0	1	2	silver	37.250554941	true	
312	0	5	4	3	4	3	0	2	2	0	1	2	silver	40.57563537	true	
313	1	5	4	3	4	3	0	2	2	0	1	2	silver	39.189513196	true	
314	2	5	4	3	4	3	0	2	2	0	1	2	silver	37.637449373	true	
315	3	5	4	3	4	3	0	2	2	0	1	2	silver	42.22749505	true	
316	0	6	4	3	4	3	0	2	2	0	1	2	silver	38.567293973	true	
317	1	6	4	3	4	3	0	2	2	0	1	2	silver	38.551490163	true	
318	2	6	4	3	4	3	0	2	2	0	1	2	silver	41.714062726	true	
